source_lang	source_form	source_ipa	target_form	target_ipa	process	provenance	note
eng	kangaroo		კენგურუ		substitution	rayfield2023 p.25	vowel-final, so NO -i; /ae/ -> e; /ng/ -> ng
eng	talk show		თოქ შოუ		substitution	rayfield2023 p.25	NO -i at all: the non-final element bares a consonant, and shou is vowel-final
eng	retreat		რითრითი		epenthesis;substitution	rayfield2023 pp.17,23	resyllabified ri-thri-thi, "quite unlike English"; both /t/ -> aspirate t
eng	record-breaker		რეკორდსმენი		substitution;epenthesis	rayfield2023 p.22	Russian -men; the four-consonant medial cluster rdsm is retained with NO repair
eng	yogurt		ჲოგურტი		epenthesis;substitution	rayfield2023 p.25	initial /j/ written with the REVIVED archaic letter jan; contrast gabunia2021 p.14, which spells the same word iogurt-i
eng	Amsterdam		ამსტერდამი	ɑmstʼɛrdɑmi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	final -i; English/Dutch /st/ -> ejective st'
eng	Ankara		ანკარა	ɑnkʼɑrɑ	substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	vowel-final: no -i
eng	Athens		ათენი	ɑtʰɛni	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	Gk/Rus-mediated; /th/ -> aspirate t
eng	Baku		ბაქო	bɑkʰɔ	substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	q-source rendered k (kh) not ejective; Russian-mediated
eng	Bank		ბანკი	bɑnkʼi	epenthesis	ka-wiki-title (target_ipa derived from Georgian orthography)	common noun; final -i on C-final loan
eng	Barcelona		ბარსელონა	bɑrsɛlɔnɑ	none	ka-wiki-title (target_ipa derived from Georgian orthography)	vowel-final: no -i
eng	Belfast		ბელფასტი	bɛlpʰɑstʼi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/f/ -> p (aspirate); /st/ -> ejective st'
eng	Berlin		ბერლინი	bɛrlini	epenthesis	ka-wiki-title (target_ipa derived from Georgian orthography)	final -i
eng	Bono		ბონო	bɔnɔ	none	ka-wiki-title (target_ipa derived from Georgian orthography)	vowel-final: no -i
eng	Bristol		ბრისტოლი	bristʼɔli	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/st/ -> ejective st'; final -i
eng	Bruce Springsteen		ბრიუს სპრინგსტინი	brius spʼrinɡstʼini	epenthesis;substitution;length	ka-wiki-title (target_ipa derived from Georgian orthography)	only last word takes -i; /spr/ -> sp'r; long /iː/ shortened; Bruce -> brius (Russian-mediated iu for /uː/)
eng	Bucharest		ბუქარესტი	bukʰɑrɛstʼi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/k/ -> aspirate k (kh); /st/ -> st'
eng	Budapest		ბუდაპეშტი	budɑpʼɛʃtʼi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/p/ -> ejective p'; /st/ -> st'
eng	Cairo		კაირო	kʼɑirɔ	substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/k/ -> ejective k'; vowel-final: no -i
eng	Cambridge		კემბრიჯი	kʼɛmbridʒi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/k/ -> ejective k'; /dZ/ -> j
eng	Cardiff		კარდიფი	kʼɑrdipʰi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/f/ -> p (aspirate); geminate ff simplified
eng	Chicago		ჩიკაგო	tʃʰikʼɑɡɔ	substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/S/ -> ch (!); /k/ -> ejective k'; vowel-final
eng	Computer		კომპიუტერი	kʼɔmpʼiutʼɛri	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	common noun; /k p t/ all -> ejectives
eng	Connacht		კონაქტი	kʼɔnɑkʰtʼi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	Irish placename; /x/ of -acht rendered kh->k (aspirate) + t'
eng	Copenhagen		კოპენჰაგენი	kʼɔpʼɛnhɑɡɛni	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/h/ retained as h; /k p/ -> ejectives
eng	Cork (city)		კორკი	kʼɔrkʼi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	Irish placename; both /k/ -> ejective k'
eng	Dublin		დუბლინი	dublini	epenthesis	ka-wiki-title (target_ipa derived from Georgian orthography)	Irish placename; final -i; cluster bl kept
eng	Edinburgh		ედინბურგი	ɛdinburɡi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	final /g/ spelling-pronounced; final -i
eng	Elvis Presley		ელვის პრესლი	ɛlvis pʼrɛsli	substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	only last word would take -i; Presley vowel-final so none; /p/ -> ejective p'
eng	Enya		ენია	ɛniɑ	substitution;vowel	ka-wiki-title (target_ipa derived from Georgian orthography)	Irish name; /nj/ -> ni; vowel-final: no -i
eng	Finland		ფინეთი	pʰinɛtʰi	substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	stem borrowed + native -eti country suffix; /f/ -> p (aspirate)
eng	Galway		გოლუეი	ɡɔluɛi	substitution;vowel	ka-wiki-title (target_ipa derived from Georgian orthography)	Irish placename; /w/ -> u (not v); /eI/ -> ei
eng	George Washington		ჯორჯ ვაშინგტონი	dʒɔrdʒ vɑʃinɡtʼɔni	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/w/ -> v; /N/ -> ng; only last word takes -i
eng	Glasgow		გლაზგო	ɡlɑzɡɔ	none	ka-wiki-title (target_ipa derived from Georgian orthography)	vowel-final: no -i; gl and sg clusters kept
eng	Hamburg		ჰამბურგი	hɑmburɡi	epenthesis	ka-wiki-title (target_ipa derived from Georgian orthography)	/h/ retained as h; final -i
eng	Harry Potter		ჰარი პოტერი	hɑri pʼɔtʼɛri	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/h/ -> h; /p t/ -> ejectives; only last word takes -i
eng	Helsinki		ჰელსინკი	hɛlsinkʼi	substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/h/ -> h; /k/ -> ejective k'; already i-final
eng	Internet		ინტერნეტი	intʼɛrnɛtʼi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/t/ -> ejective t' twice; final -i
eng	Istanbul		სტამბოლი	stʼɑmbɔli	epenthesis;substitution;deletion	ka-wiki-title (target_ipa derived from Georgian orthography)	initial vowel dropped (Russian-mediated Stambul); /st/ -> st'
eng	James Joyce		ჯეიმზ ჯოისი	dʒɛimz dʒɔisi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/dZ/ -> j; final /s/ -> z; diphthongs as VV hiatus ei, oi
eng	Johann Sebastian Bach		იოჰან სებასტიან ბახი	iɔhɑn sɛbɑstʼiɑn bɑxi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/j/ -> i; /h/ -> h; /x/ -> kh; only last word takes -i
eng	Leinster		ლენსტერი	lɛnstʼɛri	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	Irish province; /st/ -> st'
eng	Limerick		ლიმერიკი	limɛrikʼi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	Irish placename; /k/ -> ejective k'
eng	Lisbon		ლისაბონი	lisɑbɔni	epenthesis	ka-wiki-title (target_ipa derived from Georgian orthography)	final -i
eng	Liverpool		ლივერპული	livɛrpʼuli	epenthesis;substitution;length	ka-wiki-title (target_ipa derived from Georgian orthography)	/v/ -> v; /p/ -> ejective p'; long /uː/ shortened
eng	London		ლონდონი	lɔndɔni	epenthesis	ka-wiki-title (target_ipa derived from Georgian orthography)	final -i
eng	Ludwig van Beethoven		ლუდვიგ ვან ბეთჰოვენი	ludviɡ vɑn bɛtʰhɔvɛni	epenthesis;substitution;length	ka-wiki-title (target_ipa derived from Georgian orthography)	/th/ of Beethoven spelling-read as t+h; long /eː/ shortened; only last word takes -i
eng	Madrid		მადრიდი	mɑdridi	epenthesis	ka-wiki-title (target_ipa derived from Georgian orthography)	final -i
eng	Manchester		მანჩესტერი	mɑntʃʰɛstʼɛri	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/tS/ -> ch; /st/ -> st'
eng	Margaret Thatcher		მარგარეტ ტეტჩერი	mɑrɡɑrɛtʼ tʼɛtʼtʃʰɛri	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	Thatcher /th/ -> ejective t'; /tS/ -> t'ch; note non-final word margaret' keeps bare final t'
eng	Marseille		მარსელი	mɑrsɛli	epenthesis	ka-wiki-title (target_ipa derived from Georgian orthography)	final -i
eng	Melbourne		მელბურნი	mɛlburni	epenthesis;length	ka-wiki-title (target_ipa derived from Georgian orthography)	long /ɜː/ -> u; final -i
eng	Minsk		მინსკი	minskʼi	epenthesis	ka-wiki-title (target_ipa derived from Georgian orthography)	final -i after nsk cluster
eng	Montreal		მონრეალი	mɔnrɛɑli	epenthesis;vowel	ka-wiki-title (target_ipa derived from Georgian orthography)	final -i; ea as hiatus
eng	Moscow		მოსკოვი	mɔskʼɔvi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	Russian form; /k/ -> ejective k'; final /v/
eng	Munich		მიუნხენი	miunxɛni	substitution;vowel	ka-wiki-title (target_ipa derived from Georgian orthography)	German Muenchen; front rounded /y/ -> iu; /C/ -> kh
eng	Munster		მანსტერი	mɑnstʼɛri	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	Irish province; /st/ -> st'
eng	New York City		ნიუ-იორკი	niu-iɔrkʼi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/nj/ -> niu; /k/ -> ejective k'
eng	Oscar Wilde		ოსკარ უაილდი	ɔskʼɑr uɑildi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/w/ -> u before /aI/; /sk/ -> sk'; only last word takes -i
eng	Oslo		ოსლო	ɔslɔ	none	ka-wiki-title (target_ipa derived from Georgian orthography)	vowel-final: no -i; sl cluster kept
eng	Oxford		ოქსფორდი	ɔkʰspʰɔrdi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/ks/ -> k(aspirate)+s; /f/ -> p (aspirate); ksp cluster kept
eng	Paris		პარიზი	pʼɑrizi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/p/ -> ejective p'; final /s/ -> z (Russian-mediated)
eng	Philadelphia		ფილადელფია	pʰilɑdɛlpʰiɑ	substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	both /f/ -> p (aspirate); vowel-final: no -i
eng	Prague		პრაღა	pʼrɑɣɑ	substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/g/ -> gh (Russian Praga via ghain?); vowel-final
eng	Reykjavík		რეიკიავიკი	rɛikʼiɑvikʼi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/k/ -> ejective k'; /j/ -> i
eng	Rotterdam		როტერდამი	rɔtʼɛrdɑmi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/t/ -> ejective t'; geminate tt simplified
eng	Saint Petersburg		სანქტ-პეტერბურგი	sɑnkʰtʼ-pʼɛtʼɛrburɡi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	sankt' with bare final t' on non-final element; /p t/ -> ejectives
eng	Samuel Beckett		სემიუელ ბეკეტი	sɛmiuɛl bɛkʼɛtʼi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/k/ -> ejective k'; only last word takes -i
eng	San Francisco		სან-ფრანცისკო	sɑn-pʰrɑntsʰiskʼɔ	substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/f/ -> p (aspirate); /k/ -> ejective k'; vowel-final: no -i
eng	Scotland		შოტლანდია	ʃɔtʼlɑndiɑ	substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/sk/ -> sk'? here sh-o-t'-l: /sk/ actually rendered sh (Russian Shotlandiya); vowel-final -ia
eng	Seamus Heaney		შეიმას ჰინი	ʃɛimɑs hini	epenthesis;substitution;vowel	ka-wiki-title (target_ipa derived from Georgian orthography)	Irish names; /S/ -> sh; /h/ -> h; long /iː/ -> i
eng	Sherlock Holmes		შერლოკ ჰოლმზი	ʃɛrlɔkʼ hɔlmzi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/h/ -> h; /k/ -> ejective k'; final /s/ -> z
eng	Sinéad O'Connor		შინეიდ ო’კონორი	ʃinɛid ɔ'kʼɔnɔri	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	Irish name; /S/ -> sh; /k/ -> ejective k'; apostrophe kept in Georgian orthography
eng	Stockholm		სტოკჰოლმი	stʼɔkʼhɔlmi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/st/ -> st'; /k/ -> ejective k'; /h/ -> h; k'h sequence kept
eng	Sydney		სიდნეი	sidnɛi	substitution;vowel	ka-wiki-title (target_ipa derived from Georgian orthography)	dn cluster kept; final /i/ -> ei
eng	Taxi		ტაქსი	tʼɑkʰsi	substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/t/ -> ejective t'; /ks/ -> k(aspirate)+s
eng	Tehran		თეირანი	tʰɛirɑni	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/t/ -> aspirate t; /h/ dropped, ei hiatus
eng	Telephone		ტელეფონი	tʼɛlɛpʰɔni	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	common noun; /t/ -> ejective t'; /f/ -> p (aspirate)
eng	Television		ტელევიზია	tʼɛlɛviziɑ	substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/t/ -> ejective t'; /Z/ -> zi; vowel-final -ia
eng	Texas		ტეხასი	tʼɛxɑsi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/t/ -> ejective t'; /ks/ -> kh (velar fricative), not k+s
eng	Toronto		ტორონტო	tʼɔrɔntʼɔ	substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/t/ -> ejective t' twice; vowel-final: no -i
eng	University		უნივერსიტეტი	univɛrsitʼɛtʼi	substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	common noun; /v/ -> v; /t/ -> ejective t' twice; already i-final
eng	Vancouver		ვანკუვერი	vɑnkʼuvɛri	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/v/ -> v; /k/ -> ejective k'
eng	Vienna		ვენა	vɛnɑ	none	ka-wiki-title (target_ipa derived from Georgian orthography)	vowel-final: no -i
eng	Vladimir Putin		ვლადიმერ პუტინი	vlɑdimɛr pʼutʼini	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	Russian; /p t/ -> ejectives; vl- onset kept
eng	W. B. Yeats		უილიამ ბატლერ იეიტსი	uiliɑm bɑtʼlɛr iɛitʼsi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/w/ -> u; /j/ -> i; ts kept as t'+s
eng	Wales		უელსი	uɛlsi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/w/ -> u (not v); final /z/ -> s
eng	Warsaw		ვარშავა	vɑrʃɑvɑ	substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/w/ -> v initially; vowel-final: no -i
eng	William Shakespeare		უილიამ შექსპირი	uiliɑm ʃɛkʰspʼiri	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/w/ -> u; /S/ -> sh; /k/ -> aspirate k; ksp' cluster kept
eng	Winston Churchill		უინსტონ ჩერჩილი	uinstʼɔn tʃʰɛrtʃʰili	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/w/ -> u; /st/ -> st'; both /tS/ -> ch
eng	Wolfgang Amadeus Mozart		ვოლფგანგ ამადეუს მოცარტი	vɔlpʰɡɑnɡ ɑmɑdɛus mɔtsʰɑrtʼi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/w/ -> v initially; /f/ -> p (aspirate); /N/ -> ng; /ts/ -> ts; only last word takes -i
eng	Yerevan		ერევანი	ɛrɛvɑni	epenthesis	ka-wiki-title (target_ipa derived from Georgian orthography)	final -i
eng	Zurich		ციურიხი	tsʰiurixi	epenthesis;substitution	ka-wiki-title (target_ipa derived from Georgian orthography)	/ts/ -> ts (aspirate); /C/ -> kh
