orthography	source	field	verdict	checked_by	note
bean	https://en.wiktionary.org/wiki/ben#Old_Irish ; https://en.wiktionary.org/wiki/bean	oi_nom,oi_gen,stem,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Old Irish declension table confirms the class the harvest had recorded in the note; stem reclassified from the irregular placeholder
beirt	https://en.wiktionary.org/wiki/beirt	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	numeral: Old Irish form confirmed on the cited page
blas	https://en.wiktionary.org/wiki/mlas#Old_Irish ; https://en.wiktionary.org/wiki/blas	oi_nom,stem,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	mlas: gender unknown, no inflection — gender left blank
bocht	https://en.wiktionary.org/wiki/bocht	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
borb	https://en.wiktionary.org/wiki/borb	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
Bran	https://en.wikipedia.org/wiki/Bran_mac_Febail	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Wikipedia article gives the Old Irish spelling as recorded; no declension — stem unattested
Breandán	https://en.wiktionary.org/wiki/Breand%C3%A1n ; https://en.wiktionary.org/wiki/Br%C3%A9nainn	oi_nom,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Old Irish Brénainn entry: proper noun m; the page itself notes no Old Irish genitive found — stem unattested
buí	https://en.wiktionary.org/wiki/buide	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
bán	https://en.wiktionary.org/wiki/bán	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
Béibhinn	https://en.wikipedia.org/wiki/B%C3%A9binn	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Wikipedia article gives the Old Irish spelling as recorded; no declension — stem unattested
bó	https://en.wiktionary.org/wiki/b%C3%B3#Old_Irish	oi_nom,oi_gen,stem,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Old Irish declension table confirms the class the harvest had recorded in the note; stem reclassified from the irregular placeholder
caol	https://en.wiktionary.org/wiki/caol	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
carr	https://en.wiktionary.org/wiki/carr	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Irish etymology: from Old Irish carr 'cart, waggon' (DIL 8252); no Old Irish lemma — stem/gender unattested
Cathal	https://en.wiktionary.org/wiki/Cathal	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Irish etymology: from Old Irish Cathal; the Cathal page has no Old Irish section — stem unattested
ceithre	https://en.wiktionary.org/wiki/ceathair	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	numeral: Old Irish form confirmed on the cited page
Cian	https://en.wiktionary.org/wiki/C%C3%ADan	oi_nom,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Old Irish Cían entry: proper noun m, no declension — stem unattested
ciúin	https://en.wiktionary.org/wiki/ciúin	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
Clíodhna	https://en.wiktionary.org/wiki/Cl%C3%ADdna	oi_nom,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Old Irish Clídna entry: proper noun f, no declension — stem unattested
Colm	https://en.wiktionary.org/wiki/columb	oi_nom,stem,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	columb page: m, o-stem, gen coluimb; colum an alternative form — matches
Conall	https://en.wiktionary.org/wiki/Conall	oi_nom,oi_gen,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Old Irish entry: proper noun m, genitive Conaill, no declension table — stem unattested
crom	https://en.wiktionary.org/wiki/crom	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
Cualu	digest §10.6	oi_nom,oi_gen	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	digest §10.6 prints the same nominative/genitive; local citation, not web-checkable
Cuirithir	digest §10.6	oi_nom,oi_gen	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	digest §10.6 prints the same nominative/genitive; local citation, not web-checkable
Culann	https://en.wiktionary.org/wiki/C%C3%BA_Chulainn#Old_Irish ; https://en.wikipedia.org/wiki/Culann	oi_nom,oi_gen,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	new row: the Old Irish Cú Chulainn entry names the element Culann and gives genitive Con Culainn; no Culann lemma page — stem unattested
Cú Chonnacht	https://en.wikipedia.org/wiki/C%C3%BA_Connacht_%C3%93_D%C3%A1laigh	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	whole-name row: spelling as on the cited Wikipedia article; indecl
Cú Chulainn	https://en.wikipedia.org/wiki/C%C3%BA_Chulainn ; https://en.wiktionary.org/wiki/C%C3%BA_Chulainn#Old_Irish	oi_nom,oi_gen,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Old Irish Wiktionary entry: m, genitive Con Culainn — matches; source added
cúig	https://en.wiktionary.org/wiki/cúig	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	numeral: Old Irish form confirmed on the cited page
Da Derga	digest §10.6 ; digest §10.5	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	digest §10.6 lists Da Derga as indeclinable — indecl
dearg	https://en.wiktionary.org/wiki/derg	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
deas	https://en.wiktionary.org/wiki/deas	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
deich	https://en.wiktionary.org/wiki/deich	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	numeral: Old Irish form confirmed on the cited page
Deichtire	digest §10.6	oi_nom,oi_gen	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	digest §10.6 prints the same nominative/genitive; local citation, not web-checkable
donn	https://en.wiktionary.org/wiki/donn	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
dorcha	https://en.wiktionary.org/wiki/dorcha	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
droch-	https://en.wiktionary.org/wiki/droch-	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	prefix: Old Irish base confirmed in the cited page's etymology
dubh	https://en.wiktionary.org/wiki/dub	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
Dubh-dá-leithe	https://en.wikipedia.org/wiki/Dub_d%C3%A1_Leithe	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Wikipedia: Dub dá Leithe / Dubhdalethe, no gloss; element rows dubh, dó, leath exist
Dáire	https://en.wikipedia.org/wiki/D%C3%A1ire	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Wikipedia article gives the Old Irish spelling as recorded; no declension — stem unattested
dó	https://en.wiktionary.org/wiki/dó	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	numeral: Old Irish form confirmed on the cited page
Eamhain	digest §10.6	oi_nom,oi_gen	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	digest §10.6 prints the same nominative/genitive; local citation, not web-checkable
fada	https://en.wiktionary.org/wiki/fada	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
Fear Diad	https://en.wikipedia.org/wiki/Fer_Diad	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Wikipedia: variants Fer Diad, Ferdia, Fear Diadh; no etymology of Diad; element row not added
Feidhlim	https://en.wikipedia.org/wiki/Feidhlim	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Wikipedia article gives the Old Irish spelling as recorded; no declension — stem unattested
Fionn	https://en.wiktionary.org/wiki/Fionn ; https://en.wiktionary.org/wiki/find	oi_nom,stem,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Irish etymology: from Old Irish Finn, an epithet from find (o/ā adjective); no Finn lemma — o is the adjective's class
Fionnbharr	https://en.wiktionary.org/wiki/Fionnbharr	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Irish etymology: Middle Irish Finnbarr < Old Irish Findbarr; no Findbarr page — stem unattested
Fionnuala	https://en.wikipedia.org/wiki/Fionnuala	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Wikipedia article gives the Old Irish spelling as recorded; no declension — stem unattested
fuar	https://en.wiktionary.org/wiki/fuar	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
fíor-	https://en.wiktionary.org/wiki/fíor	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	prefix: Old Irish base confirmed in the cited page's etymology
gar-	https://en.wiktionary.org/wiki/gar	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	prefix: Old Irish base confirmed in the cited page's etymology
geal	https://en.wiktionary.org/wiki/geal	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
gealbhan	https://en.wiktionary.org/wiki/gealbhan ; https://en.wiktionary.org/wiki/gealbhonn	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Irish etymology: from Old Irish gelbann; no gelbann page — stem/gender unattested
Giolla	https://en.wiktionary.org/wiki/gilla ; https://en.wikipedia.org/wiki/Mac_Giolla_Ph%C3%A1draig_dynasty	oi_nom,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	gilla lemma is Middle Irish, m, plural gillai, no singular table — gender filled; indecl by decision
Giolla Pádraig	https://en.wikipedia.org/wiki/Mac_Giolla_Ph%C3%A1draig_dynasty	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	whole-name row: spelling as on the cited Wikipedia article; indecl
Giolla Íosa	https://en.wikipedia.org/wiki/Giolla_%C3%8Dosa_Mac_Fir_Bisigh	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	whole-name row: spelling as on the cited Wikipedia article; indecl
glas	https://en.wiktionary.org/wiki/glas	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
gorm	https://en.wiktionary.org/wiki/gorm	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
lag	https://en.wiktionary.org/wiki/lag	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
lag-	https://en.wiktionary.org/wiki/lag-	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	prefix: Old Irish base confirmed in the cited page's etymology
luath	https://en.wiktionary.org/wiki/luath	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
láidir	https://en.wiktionary.org/wiki/láidir	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
madra	https://en.wiktionary.org/wiki/madra	oi_nom,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	madrad named in the Irish etymology; the madrad lemma is Middle Irish, m — gender filled, conflict already recorded
maith	https://en.wiktionary.org/wiki/maith	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
mall	https://en.wiktionary.org/wiki/mall	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
Maol Coluim	https://en.wikipedia.org/wiki/M%C3%A1el_Coluim_I,_Earl_of_Fife	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	whole-name row: spelling as on the cited Wikipedia article; indecl
Maol Muire	https://en.wikipedia.org/wiki/M%C3%A1el_Muire	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Wikipedia article gives the Old Irish spelling as recorded; no declension — stem unattested
Maol Seachlainn	https://en.wikipedia.org/wiki/M%C3%A1el_Sechnaill	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	whole-name row: spelling as on the cited Wikipedia article; indecl
milis	https://en.wiktionary.org/wiki/milis	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
mná	https://en.wiktionary.org/wiki/mn%C3%A1 ; https://en.wiktionary.org/wiki/ben#Old_Irish	oi_nom,oi_gen,stem,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Old Irish declension table confirms the class the harvest had recorded in the note; stem reclassified from the irregular placeholder
Morann	digest §10.6	oi_nom,oi_gen	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	digest §10.6 prints the same nominative/genitive; local citation, not web-checkable
muileann	https://en.wiktionary.org/wiki/muileann	oi_nom,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	muilenn given with gender m in the Irish etymology; no Old Irish lemma page
Muircheartach	https://en.wikipedia.org/wiki/Muirchertach	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	no Wiktionary page for Muirchertach (404); Wikipedia name article only — indecl by decision
Muireann	https://en.wikipedia.org/wiki/Muireann	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Wikipedia article gives the Old Irish spelling as recorded; no declension — stem unattested
Máire	https://en.wiktionary.org/wiki/Muire	oi_nom,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Old Irish Maire entry: proper noun f, no declension — stem unattested
mí	https://en.wiktionary.org/wiki/m%C3%AD#Old_Irish	oi_nom,oi_gen,stem,gender	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Old Irish declension table confirms the class the harvest had recorded in the note; stem reclassified from the irregular placeholder
mín	https://en.wiktionary.org/wiki/mín	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
mór	https://en.wiktionary.org/wiki/mór	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
naoi	https://en.wiktionary.org/wiki/naoi	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	numeral: Old Irish form confirmed on the cited page
Niamh	https://en.wiktionary.org/wiki/Niamh	oi_nom,oi_gen,stem,gender	fixed	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	the cited etymology derives Niamh from Old Irish ném 'lustre' (via Middle Irish níam), not from nem 'heaven' whose s-stem paradigm the row had borrowed; oi_nom corrected to ném, the borrowed genitive/stem/gender removed
nua	https://en.wiktionary.org/wiki/nua	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
Nuala	https://en.wiktionary.org/wiki/Nuala	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Irish etymology: from Old Irish Finnguala (find + guala); no Finnguala page — stem unattested
nós	https://en.wiktionary.org/wiki/n%C3%B3s	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Irish etymology: from Old Irish nós 'custom' (DIL 33303); gender given only for the 'fame' sense — left blank
ocht	https://en.wiktionary.org/wiki/ocht	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	numeral: Old Irish form confirmed on the cited page
Odhrán	https://en.wiktionary.org/wiki/Odhr%C3%A1n	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Irish etymology: from Old Irish Odrán (odur + -án); no Odrán page — stem unattested
olc	https://en.wiktionary.org/wiki/olc	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
Pádraig	https://en.wikipedia.org/wiki/Saint_Patrick ; digest §10.5	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Wikipedia: Latin Patricius evolved into Old Irish as Pátraic; indeclinable per digest §10.5 — stem indecl filled
Pátraic	digest §10.5 ; digest §10.6	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	digest §10.5 lists Patraic among the indeclinables; spelling unified to Pátraic (R31b)
rua	https://en.wiktionary.org/wiki/rua	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
Rónán	digest §10.6	oi_nom,oi_gen	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	digest §10.6 prints the same nominative/genitive; local citation, not web-checkable
Sadhbh	https://en.wiktionary.org/wiki/Sadhbh	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Irish etymology: Middle Irish Sadb < Old Irish Sadb; no Sadb page — stem unattested
saibhir	https://en.wiktionary.org/wiki/saibhir	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
seacht	https://en.wiktionary.org/wiki/seacht	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	numeral: Old Irish form confirmed on the cited page
Seadanta	digest §10.6	oi_nom,oi_gen	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	digest §10.6 prints the same nominative/genitive; local citation, not web-checkable
sean	https://en.wiktionary.org/wiki/sen	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
searbh	https://en.wiktionary.org/wiki/searbh	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
Sorcha	https://en.wiktionary.org/wiki/Sorcha ; https://en.wiktionary.org/wiki/sorchae	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	Old Irish form as recorded on the cited page; no declension shown — stem unattested
sé	https://en.wiktionary.org/wiki/sé	oi_nom	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	numeral: Old Irish form confirmed on the cited page
trom	https://en.wiktionary.org/wiki/trom	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
tréan	https://en.wiktionary.org/wiki/tréan	oi_nom,stem	ok	Claude, plan Task 3 (2026-08-27; Wiktionary raw wikitext, Wikipedia fetch, digest §10.6)	adjective: Old Irish form confirmed on the cited page (lemma or Irish etymology line); blank stem/gender explained by note
