orthography	source	field	verdict	checked_by	note
talamh	https://en.wiktionary.org/wiki/talam#Old_Irish	oi_nom,oi_gen,stem,gender	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	talam, gen. talman, n-stem — matches
bacach	https://en.wiktionary.org/wiki/bacach	oi_nom,source	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	baccach shown only in the modern page's etymology line, no standalone Old Irish entry — weaker sourcing, still passes
Maol Muire	https://en.wikipedia.org/wiki/M%C3%A1el_Muire	gender	fixed	harvest verifier (session 5f09 agent a0a, 2026-08-27)	MINOR: page treats Máel Muire as unisex (borne by women too); gender=m not supported — gender blanked
Colm	https://en.wiktionary.org/wiki/columb	oi_nom,oi_gen,stem,gender	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	colum listed as an attested alternative form of columb (o-stem masc, gen. coluimb)
Aldfrith	digest §10.6	source	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	SKIP: local citation (digest §10.6)
srón	https://en.wiktionary.org/wiki/sr%C3%B3n#Old_Irish	oi_nom,oi_gen,stem,gender	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	srón, gen. sróine, ā-stem — matches
bradán	https://en.wiktionary.org/wiki/brat%C3%A1n#Old_Irish	oi_nom,oi_gen,stem,gender	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	bratán, gen. bratáin, o-stem — matches
bocht	https://en.wiktionary.org/wiki/bocht	oi_nom,stem	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	o/ā-class adjective confirmed
ardnósach	https://en.wiktionary.org/wiki/ardnósach	status,source	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	page has only a Modern Irish section — none-claim supported
dán	https://en.wiktionary.org/wiki/d%C3%A1n#Old_Irish	note	fixed	harvest verifier (session 5f09 agent a0a, 2026-08-27)	MINOR: gen. dáno (u-stem masc) confirmed, but dána is an alternative nominative plural, not an alternative genitive — note corrected
Aonghus	https://en.wiktionary.org/wiki/O%C3%ADngus	oi_nom,oi_gen,stem,gender	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	Oíngus, gen. Oíngusa, u-stem — matches
oíche	https://en.wiktionary.org/wiki/adaig#Old_Irish ; https://en.wiktionary.org/wiki/o%C3%ADche	oi_nom,oi_gen,stem,gender	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	adaig page gives gen. aidche (alt aithche); oíche descends from that oblique stem — matches
Giolla Pádraig	https://en.wikipedia.org/wiki/Mac_Giolla_Ph%C3%A1draig_dynasty	oi_nom,source	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	Wikipedia gives Old Irish Mac Gilla Pátraic — supports the underlying name
nead	https://en.wiktionary.org/wiki/net#Old_Irish ; https://en.wiktionary.org/wiki/nead	oi_gen	fixed	harvest verifier (session 5f09 agent a0a, 2026-08-27)	MINOR: net page gives genitive nit, not neit — corrected
cúig	https://en.wiktionary.org/wiki/cúig	oi_nom	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	cúig etymology shows Old Irish cóic — matches
sneachta	https://en.wiktionary.org/wiki/snechtae#Old_Irish ; https://en.wiktionary.org/wiki/sneachta	oi_nom,oi_gen,stem,gender	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	snechtae, gen. snechtai, masc. io-stem (mapped to o) — matches
dubh	https://en.wiktionary.org/wiki/dub	note	fixed	harvest verifier (session 5f09 agent a0a, 2026-08-27)	MINOR: Old Irish dub (u-stem neuter) is glossed ink/pigment, gall, not fault/blemish — note corrected
flaith	https://en.wiktionary.org/wiki/flaith#Old_Irish	oi_nom,oi_gen,stem,gender	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	flaith, gen. flatho (alt flatha), i-stem — matches
seacht	https://en.wiktionary.org/wiki/seacht	oi_nom	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	seacht etymology shows Old Irish secht — matches
Ailbhe	https://en.wikipedia.org/wiki/Ailbe_of_Emly	oi_nom,source	ok	harvest verifier (session 5f09 agent a0a, 2026-08-27)	Wikipedia confirms Ailbe and the Old Irish Rule of Ailbe
buí	https://en.wiktionary.org/wiki/buide	source,oi_nom	fixed	harvest verifier (session 5f09 agent a0a, 2026-08-27)	FAIL: cited modern page has no Old Irish section; the ancestor is buide (io/iā-stem) — source repointed to the buide entry
